S. No.,source,startupName,website,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
208,VI,Fasket,http://www.fasket.com,,Fasket (www.fasket.com) is an online portal for ordering food from some of the known restaurants of Varanasi.,Consumer_goods,Food and beverage,Hyperlocal and Logistics,,B2C,Food ordering platform,,,Bhubaneswar,,,Food Services,,,,,,,,,,IIT-BHU,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,VI,Fastfilmz,http://fastfilmz.com/,,"Watch your favourite Tamil Movies, Scenes, Actors online. Stream or Download HD quality Tamil Movies on the go. Download the fastfilmz app.  Global tech giant Google has announced the list of startups that will be joining the fourth edition of the Launchpad Accelerator Program. The six Indian startups selected are: EdGE Networks, Fastfilmz, Indialends, RailYatri, RecipeBook and SigTuple. The six month programme programme will start on July 17, 2017.",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,Online movies and video streaming,,,Bengaluru,,,Movies and video,,,,,,,,,,Google Launchpad,05/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,VI,FiasTech,http://fiastech.weebly.com/,,"Push every drop of fuel in the fuel tank, before the fuel nozzle is removed.Everytime we re-fuel our vehicle, a few drops of fuel fall on the ground.US headquartered engineering software firm Autodesk has selected for FiasTech  its Entrepreneur Impact Program. Under the program, the startups will be provided software worth $150,000 (about INR 1 crore) as well as training for a period of three years. FiasTech has developed a product which when installed in fuel nozzles saves oil drops that usually fall on the ground during refuelling of vehicles at gas stations.",Consumer_goods,automobile and parts,Consumer Products and Services,,B2C,Spoil fill petrol  filling device,,,Bengaluru,,,Consumer Electronics,,,,,,,,,,Autodesk,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,VI,FIB-SOL Life Technologies,,,Company is enageged in development of low-cost bio-fertilisers,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Bio fertilizers development,,,Chennai,,,Farming & Agriculture,,,,,,,,,,IIT-M Biotech,12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,VI,Find me a Shoe,http://findmeashoe.in/,,"Find me a Shoe helps customers find the right footwear via virtual shopping.  In Oct-2016, the company raised funding from Ventureast.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Footwear,,,Bengaluru,,,Clothing & Accessories,,,,,,,,,,Target Accelerator,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,VI,FindUrClass,http://www.findurclass.com/,," FindURClass is a search and discovery platform that enables the class seeker to make an informed decision when it comes to selecting a class (and even book the class) quickly and easily.    In Feb-16, the company attracted funding from VentureNursery Angels",Technology,Software & Computer Services,Edu-Tech,,B2C,Educational suggestion,,,Mumbai,,,Online courses and resources,,,,,,,,,,VentureNursery,05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,VI,FinMitra,https://www.finmitra.com/,,Good quality affordable financial advice and services have remained inaccessible to the middle & upper-middle class Indians.,Financials,Financial services,Fin-Tech and Payments,,B2C,Advising on managing finance,,,Mumbai,,,Investment advisory and consultancy and financial consumer services,,,,,,,,,,Zone Startups India,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,VI,FirstHive,https://firsthive.com/,,"FirstHive is a Customer Data Platform that builds Unique Customer Identities by aggregating data from across all sources of customer interactions and customer transactions. (viz. ERP, CRM, Website, Social, PoS, mobile app, customer care, etc.) It integrates with all the customer touchpoints deployed by a brand to pull in data to a single interface and build rich customer profiles which can be grouped into relevant, intelligent cohorts. The new batch of startups selected for the Microsoft Accelerator programme are mainly in the areas of artificial intelligence and the internet of things, targeting verticals, including banking finance and financial services, logistics, healthcare, pharma and energy .Seven of the startups, including healthcare startup SigTuple and packaging artwork management software provider Karomi are among series-stage mature businesses, currently at an average annual revenue rate (ARR) of $1.5 million, and average funding of $3.2 million. The other startups in the batch include: AceBot, Active.Ai, FirstHive, Heckyl Technologies, Lavelle Networks, LetsTransport, QuestionPro, SysCloud, Tricog, vPhrase, Wittyparrot and Zenatix.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Customer Engagement Platform,,,Bengaluru,,,Customer service for business,,,,,,,,,,Microsoft Accelerator,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,VI,FitMeIn,http://fitmein.in,,"FitMeIn, which provides users access to fitness studios and gyms on a subsidized monthly package, has raised $100,000 in a seed round from GHV Accelerator. It will use the money for technology enhancement and geographical expansion. Pasta Lifestyle Solutions Pvt. Ltd owns and operates FitMeIn. The start-up offers monthly multi-studio membership to premium fitness workout centres in Delhi, Noida and Gurgaon. The company plans to expand its services across top five metros including Mumbai and Bengaluru by the end of this year. The company will be launching its Android and iOS apps soon.",Healthcare,Healthcare,Health-Tech,,B2C,Fitness and gym,,,Delhi,,,Fitness & Wellness,,,,,,,,,,Green House Ventures,09/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,VI,FixNix,https://www.fixnix.co/,,"FixNix is a SaaS-based GRC (governance, risk management, and compliance) platform. In Mar-2016, the company raised Pre-series A funding of $500,000 led by Jay Vijayan, CIO of Tesla Motors.",Technology,Software & Computer Services,Software and Internet Services,,B2B,SaaS development,,,Chennai,,,SaaS,,,,,,,,,,Rise Accelerator,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,VI,Fixy,http://www.fixy.in/,,Fixy provides for customers to book online Handyman and Cleaning services.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Cleaning services,,,Mumbai,,,Professional services,,,,,,,,,,VentureNursery,06/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,VI,FlamencoTech,http://www.flamencotech.com/,,FlamencoTech’s Digital Blanket is an Internet of Every Thing & Everyone (IoEE) solution for smarter Infrastructure.,Technology,Technology Hardware & Equipment,Technology,,B2C,IOT devices,,,Bengaluru,,,Internet of things infrastructure,,,,,,,,,,Microsoft Ventures,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,VI,Flashdoor,http://www.flashdoor.in/,,Bangalore based on-demand laundry service platform Flashdoor has raised angel funding round led by former Flipkart executive Sujeet Kumar. Flipkart chief business officer Ankit Nagori and Traxcn Labs also put money in the round. The funding will be used towards expansion of the core team and upgrading the technology. Flashdoor works on a curated marketplace model and runs its own logistics service to collect laundry from customers.,Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Laundry services,,,Bengaluru,,,Laundry,,,,,,,,,,Tracxn Labs,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,VI,FlatPebble,http://www.flatpebble.com/,,"A place for hiring wedding photographers, videographers, live streaming and other visual media experts.",Consumer_services,Retail,Consumer Products and Services,,B2C,Hire professional for event conduction,,,Hyderabad,,,Event Management,,,,,,,,,,Microsoft Accelerator,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,VI,Flicksup,https://www.flicksup.com/,,"Bangalore-based startup Flicksup, a social network focused on TV Serials, Web Serials and Movies, has been selected by Facebook to be a part of FBStart programme. Flicksup will receive $40,000 to build, grow, and monetize their application. The startup will also receive mentoring from Facebooks engineering teams.",Consumer_services,Media,"Media, Advertising and Gaming",,B2C,TV Serials web serial and movie,,,Bengaluru,,,Media and entertainment,,,,,,,,,,Fbstart,11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,VI,Fliona,http://www.fliona.com/,,Fliona is an online fashion retail store that provides personal preferences at affordable prices. It brings real-time visualization to its customers. The startup also has a strong supply-chain that allows it to produce handbags at an effective cost.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Online Fashion Store,,,Hyderabad,,,Fashion,,,,,,,,,,Spark10,07/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,VI,FlippAR,,,FlippAR is an object tagging app that works on augmented reality.,Technology,Technology Hardware & Equipment,Technology,,B2B2C,AR product,,,Bengaluru,,,VR-AR,,,,,,,,,,NUMA Accelerator,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,VI,Flybird Innovations,http://flybirdinnovations.com/,,"FlyBird Innovations is focused on Embedded Products development, Services and Solutions for Aerospace, Automotive, Medical and Industrial domains.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Product development in various fields,,,Bengaluru,,,Product development,,,,,,,,,,Villgro,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,VI,Flynx,http://flynxapp.com/,,"Flynx is a mobile browser that offers features like background page loading, reading mode which it claims improves readability by extracting all relevant text from a web page and ability to share links with other apps like Facebook, Twitter and Pushbullet or save links to Pocket, Evernote and Readability among others",Technology,Software & Computer Services,Software and Internet Services,,B2C,Mobile App to better mobile usage,,,Noida,,,Software services for consumers,,,,,,,,,,TLabs,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,VI,FlyRobe,http://flyrobe.com/,,"Google has announced the third batch of Indian startups that will join the Launchpad Accelerator program in Silicon Valley. They will become a part of the six-month mentorship programme for mid to late stage startups, which will also include $50K in equity-free funding, a two-week all-expenses paid boot camp at Google Headquarters, and access to Googles full suite of Launchpad initiatives and connections and product credits including Google Cloud and other products. Flyrobe is a fashion rental company.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Rent Clothes,,,Mumbai,,,Online Rental,,,,,,,,,,Google Launchpad,11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,VI,FortunePay,http://www.fortunepay.in/,,FortunePay offers innovative and affordable commerce solutions to merchants to enhance customer engagement and revenues,Financials,Financial services,Fin-Tech and Payments,,B2C,Payment methods,,,Bengaluru,,,Payments and Wallet,,,,,,,,,,Microsoft Ventures,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,VI,Frapp,http://frapp.in/,,"Frapp is Indias first and largest student benefits platform. Students can access a variety of student exclusive coupons, deals and discounts from top brands.",Financials,Financial services,Internet marketplace and eCommerce,,B2C,Coupons and Deals,,,Mumbai,,,Coupons and Deals,,,,,,,,,,Moonshot Accelerator,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,VI,Frilp,https://www.frilp.com,,Frilp is in the business of location analytics that offer reviews and recommendations via social channels. Frilp offers a platform to discover and seek word of mouth recommendations on local businesses and services.,Technology,Software & Computer Services,Social Platforms,,B2C,Review and recommendation website,,,Chennai ,,,Website for information,,,,,,,,,,Microsoft Ventures,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,VI,Fulfil.IO,https://www.fulfil.io/,,"Fulfil.IO is a SaaS offering to help small and medium sized multi-channel retailers fulfil orders efficiently and manage inventory transparently across the sales channels with a high degree of forecasting   In Jul-2016, Rajan Anandan invested in the company.",Technology,Software & Computer Services,Software and Internet Services,,B2B,SaaS development,,,Bengaluru,,,SaaS,,,,,,,,,,Axilor Ventures,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,VI,Fullonwedding,,,Fullonwedding is an end-to-end wedding planning platform for Indian marriages.,Consumer_services,Retail,Consumer Products and Services,,B2C,Wedding planning,,,Bengaluru,,,Event Management,,,,,,,,,,NUMA Accelerator,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,VI,Fund Expert,https://www.fundexpert.in/,,Fund Expert is an intelligent automated mutual fund investing platform. It is powered by Gumption Labs Solution Pvt. Ltd. It aims to bring financial panacea to every Indian.,Financials,Financial services,Fin-Tech and Payments,,B2B2C,Mutual fund investment,,,Bengaluru,,, Alternative Funding Platforms,,,,,,,,,,Rise Accelerator,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,VI,Galaxy Research Technologies,http://www.grttech.com/,,Target manufactures water and gas filtration products using  microfiltration membrane bioreactors.,Technology,Technology Hardware & Equipment,Technology,,B2B2C,Water ad Gas Filtrations,,,Karaikudi,,,Outsourced and Shared technolgy services,,,,,,,,,,TREC - STEP,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,VI,Gamatics,http://www.gamatics.in/,,"Gamatics seeks to streamline, organize, analyze, support and network Athletes and sportspersons by creating an online platform for providing ecommerce and analytics based solutions for sportspersons and sports industry.",Consumer_goods,personal and household goods,"Media, Advertising and Gaming",Social Platforms,B2C,Sports related information and games,,,Bengaluru,,,Media and entertainment,Connect People for Social Activities,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,VI,Gamezop,http://www.gamezop.co/,,"Gamezop is provides an mobile app-based social network for casual games to enable easy game discovery and downloads.   In Jan-16, Delhi-based Advergame Technologies Pvt Ltd that operates mobile-based gaming network app Gamezop  secured funding from Snapdeal chief product officer Anand Chandrasekaran and other investors.",Technology,Software & Computer Services,"Media, Advertising and Gaming",,B2C,Gaming,,,Delhi,,,Games and Gaming enablers,Connect People for Social Activities,,,,,,,,,GSF Accelerator,04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,VI,Germin8,http://germin8.com/,,"Germin8 is a social media-based platform that collects and analyses conversations in real-time from public and private sources, whereby it converts them into industry-specific insights and analytics.",Technology,Software & Computer Services,Software and Internet Services,,B2C,Data analytics,,,Mumbai,,,Big Data Analytics and Machine learning,,,,,,,,,,Microsoft Accelerator,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,VI,Get Closer,http://www.getcloser.in/,,Get Closer is an online portal which allows users to submit an issue and to raise money through crowdfunding to hire a lawyer for handling a Public Interest Litigation in court. Get Closer intends to further add other revenue driven legal services online and through a mobile app.,Financials,Financial services,Fin-Tech and Payments,,B2B2C,Crowd funding platform,,,Bengaluru,,,Crowdfunding,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,VI,GetSquarefeet.com,https://getsquarefeet.com,,"getSquareFeet is a data-driven and technology-enabled investment platform for real estate investors. The platform offers curated deals, co-investment structure and managed services to real estate investors.",Financials,Financial services,Fin-Tech and Payments,,B2B2C,Real estate investment,,,Udaipur,,, Alternative Funding Platforms,,,,,,,,,,Investopad,08/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
